Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Scott,Duvall,Hamilton Mountain,Ontario,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Julie,Dzerowicz,Davenport,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Wayne,Easter,Malpeque,Prince Edward Island,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ali,Ehsassi,Willowdale,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Neil,Ellis,Bay of Quinte,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ted,Falk,Provencher,Manitoba,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Diane,Finley,Haldimand—Norfolk,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-05-11 3:50:00 PM
,Pat,Finnigan,Miramichi—Grand Lake,New Brunswick,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Rhéal,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
