KPICategory,KPIMeasure,KPIYear,KPIValue
Training,Formal Technology Training Sessions - number trained,2001,453
Collections,Unique Titles Owned by the Library,2012,173298
Answers,Reference Transactions via the Internet,2010,891
Borrowing,Items Lent to Other Libraries,2011,1571
Borrowing,Materials Used In-House,2002,168896
Answers,Staff-Mediated Customer Service/ Information Transactions,2013,31930
Library use,Library Cards Purchased,2015,14470
Training,Informal Technology Training Sessions,2005,4852
Borrowing,Circulation of Library Materials Borrowed Per Capita,2011,15.49
Collections,Items Catalogued,2009,16892
Borrowing,Items Lent to Other Libraries,2004,985
Population,Population Served,2004,80056
Collections,Items Catalogued,2015,21326
Library use,Number of people reporting use of Library (County Survey),2010,39844
Borrowing,Items Borrowed from Other Libraries,2002,843
Collections,Electronic items Owned or Licensed by the Library,2015,13632
Collections,Items Processed,2002,16247
Collections,Items Ordered,2014,39094
Volunteers,Volunteer Hours,2009,3636
Programs,Program Participants,2007,25424
Borrowing,Total Library Materials Used,2014,1475400
Borrowing,Items Lent to Fort Saskatchewan,2005,9228
Borrowing,Circulation of Library Materials Borrowed Per Capita,2015,15.6
Answers,Reference Transactions via the Internet,2005,670
Training,Informal Technology Training Sessions,2001,1873
Answers,Reference Transactions via the Internet,2014,1358
Visits,Total Patron Visits,2004,617729
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2009,102392
Collections,Items Catalogued,2003,6795
Visits,Patrons visiting Central Library,2012,575669
Collections,Items Received,2014,40438
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2007,352
Internet,Use of wireless internet,2013,98126
Visits,Total Patron Visits,2002,523628
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2010,525
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2001,48923
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2012,144947
Library use,Library Cards Purchased,2014,14448
Training,Formal Technology Training Sessions - number of session,2007,119
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2002,42081
Answers,Staff-Mediated Customer Service/ Information Transactions,2012,39956
Collections,Items Received,2013,43377
