,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
122,Volví,Aventura,949214,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
123,"You Right","Doja Cat",947623,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
124,"love nwantiti (ah ah ah)",CKay,945442,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
125,"2step (feat. Lil Baby)","Ed Sheeran",937895,https://open.spotify.com/track/2UN0lp72LAusrXi8LLVomt
126,"Shape of You","Ed Sheeran",936104,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
127,"Locked out of Heaven","Bruno Mars",928840,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
128,"Leave The Door Open","Bruno Mars",926782,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
129,"Sweetest Pie","Megan Thee Stallion",923813,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
130,"Numb Little Bug","Em Beihold",917773,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
131,Revenge,XXXTENTACION,910387,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
132,Falling,"Harry Styles",905615,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
133,"Nail Tech","Jack Harlow",905248,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
134,happier,"Olivia Rodrigo",904676,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
135,"Something In The Way - Remastered",Nirvana,901265,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
136,"There's Nothing Holdin' Me Back","Shawn Mendes",898103,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
137,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,896847,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
138,"The Nights",Avicii,895146,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
139,"Daddy Issues","The Neighbourhood",895085,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
140,"Mr. Brightside","The Killers",892577,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
141,Iris,"The Goo Goo Dolls",884631,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
142,"Die For You","The Weeknd",883271,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
143,Heather,"Conan Gray",882588,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
144,"favorite crime","Olivia Rodrigo",880528,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
145,Chale,"Eden Muñoz",877496,https://open.spotify.com/track/74WROFXsox6wkeUrEK2DS6
146,"'Till I Collapse",Eminem,877300,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
147,Riptide,"Vance Joy",876132,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
148,"One Dance",Drake,873144,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
149,"jealousy, jealousy","Olivia Rodrigo",869571,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
150,Perfect,"Ed Sheeran",867621,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
151,"After Dark",Mr.Kitty,866653,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn
152,"Gangsta's Paradise",Coolio,863854,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
153,"Still D.R.E.","Dr. Dre",859281,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
154,"Don't Be Shy",Tiësto,857754,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
155,"Where Did You Go? (feat. MNEK)","Jax Jones",856337,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
156,"Wake Me Up",Avicii,850369,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
157,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",850216,https://open.spotify.com/track/0Bv7O6fmZk3GrNQFYJaXPn
158,Notion,"The Rare Occasions",849987,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
159,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",849705,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
160,Freaks,"Surf Curse",847148,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
161,Circles,"Post Malone",846353,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
162,"Take Me To Church",Hozier,845653,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
163,"See You Again (feat. Kali Uchis)","Tyler, The Creator",844977,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
164,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,844426,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
165,MONEY,LISA,841422,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
166,Golden,"Harry Styles",838232,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
167,"Tom's Diner",AnnenMayKantereit,837174,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
168,"Something Just Like This","The Chainsmokers",831075,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
169,Vampiro,Matuê,823488,https://open.spotify.com/track/6bTdZ7xfKp3NqqADJ8HLyj
170,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,823061,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
171,"Mount Everest",Labrinth,814145,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
172,Photograph,"Ed Sheeran",813552,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
173,"Do I Wanna Know?","Arctic Monkeys",813007,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
174,RUMBATÓN,"Daddy Yankee",806050,https://open.spotify.com/track/3XjN0mvFkQp1FMVM9Ro5hm
175,FEARLESS,"LE SSERAFIM",803733,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj
